Block,Butterfly side,Delay,Butterfly Number,Num trials,Question Number,Angle
1,up,0,67,7,888,0
1,center,0,69,7,888,0
1,down,0,68,6,888,0
1,up,0,67,1,888,0.1583
1,center,0,69,1,888,0.1583
1,center,0,69,1,888,-0.1583
1,down,0,68,1,888,-0.1583
1,up,0,67,1,888,0.2125
1,center,0,69,1,888,0.2125
1,center,0,69,1,888,-0.2125
1,down,0,68,1,888,-0.2125
1,down,0,68,1,888,0.2679
1,up,0,67,1,888,0.2679
1,up,0,67,1,888,-0.2679
1,center,0,69,1,888,-0.2679
1,up,0.05,67,2,888,0
1,center,0.05,69,2,888,0
1,down,0.072,68,2,888,0
1,center,0.072,69,2,888,0
1,up,0.094,67,2,888,0
1,down,0.094,68,2,888,0
1,up,0.05,67,1,888,0.1583
1,center,0.05,69,1,888,0.1583
1,up,0.05,67,1,888,-0.1583
1,down,0.05,68,1,888,-0.1583
1,center,0.05,69,1,888,0.2125
1,down,0.05,68,1,888,0.2125
1,center,0.05,69,1,888,-0.2125
1,up,0.05,67,1,888,-0.2125
1,up,0.05,67,1,888,0.2679
1,down,0.05,68,1,888,0.2679
1,center,0.05,69,1,888,-0.2679
1,down,0.05,68,1,888,-0.2679
1,up,0.072,67,1,888,0.1583
1,down,0.072,68,1,888,0.1583
1,down,0.072,68,1,888,-0.1583
1,center,0.072,69,1,888,-0.1583
1,up,0.072,67,1,888,0.2125
1,center,0.072,69,1,888,0.2125
1,down,0.072,68,1,888,-0.2125
1,up,0.072,67,1,888,-0.2125
1,center,0.072,69,1,888,0.2679
1,down,0.072,68,1,888,0.2679
1,up,0.072,67,1,888,-0.2679
1,down,0.072,68,1,888,-0.2679
1,up,0.094,67,1,888,0.1583
1,center,0.094,69,1,888,0.1583
1,center,0.094,69,1,888,-0.1583
1,down,0.094,68,1,888,-0.1583
1,up,0.094,67,1,888,0.2125
1,down,0.094,68,1,888,0.2125
1,up,0.094,67,1,888,-0.2125
1,center,0.094,69,1,888,-0.2125
1,down,0.094,68,1,888,0.2679
1,center,0.094,69,1,888,0.2679
1,down,0.094,68,1,888,-0.2679
1,up,0.094,67,1,888,-0.2679
2,up,0,67,6,888,0
2,center,0,69,7,888,0
2,down,0,68,7,888,0
2,down,0,68,1,888,0.1583
2,center,0,69,1,888,0.1583
2,center,0,69,1,888,-0.1583
2,up,0,67,1,888,-0.1583
2,up,0,67,1,888,0.2125
2,down,0,68,1,888,0.2125
2,center,0,69,1,888,-0.2125
2,up,0,67,1,888,-0.2125
2,down,0,68,1,888,0.2679
2,center,0,69,1,888,0.2679
2,up,0,67,1,888,-0.2679
2,down,0,68,1,888,-0.2679
2,up,0.05,67,2,888,0
2,down,0.05,68,2,888,0
2,down,0.072,68,2,888,0
2,up,0.072,67,2,888,0
2,up,0.094,67,2,888,0
2,center,0.094,69,2,888,0
2,up,0.05,67,1,888,0.1583
2,down,0.05,68,1,888,0.1583
2,up,0.05,67,1,888,-0.1583
2,center,0.05,69,1,888,-0.1583
2,center,0.05,69,1,888,0.2125
2,up,0.05,67,1,888,0.2125
2,center,0.05,69,1,888,-0.2125
2,down,0.05,68,1,888,-0.2125
2,up,0.05,67,1,888,0.2679
2,center,0.05,69,1,888,0.2679
2,up,0.05,67,1,888,-0.2679
2,down,0.05,68,1,888,-0.2679
2,down,0.072,68,1,888,0.1583
2,center,0.072,69,1,888,0.1583
2,down,0.072,68,1,888,-0.1583
2,up,0.072,67,1,888,-0.1583
2,down,0.072,68,1,888,0.2125
2,center,0.072,69,1,888,0.2125
2,down,0.072,68,1,888,-0.2125
2,center,0.072,69,1,888,-0.2125
2,up,0.072,67,1,888,0.2679
2,down,0.072,68,1,888,0.2679
2,center,0.072,69,1,888,-0.2679
2,down,0.072,68,1,888,-0.2679
2,down,0.094,68,1,888,0.1583
2,center,0.094,69,1,888,0.1583
2,center,0.094,69,1,888,-0.1583
2,up,0.094,67,1,888,-0.1583
2,up,0.094,67,1,888,0.2125
2,center,0.094,69,1,888,0.2125
2,up,0.094,67,1,888,-0.2125
2,down,0.094,68,1,888,-0.2125
2,up,0.094,67,1,888,0.2679
2,center,0.094,69,1,888,0.2679
2,down,0.094,68,1,888,-0.2679
2,center,0.094,69,1,888,-0.2679
3,up,0,67,7,888,0
3,center,0,69,6,888,0
3,down,0,68,7,888,0
3,down,0,68,1,888,0.1583
3,up,0,67,1,888,0.1583
3,down,0,68,1,888,-0.1583
3,up,0,67,1,888,-0.1583
3,center,0,69,1,888,0.2125
3,down,0,68,1,888,0.2125
3,down,0,68,1,888,-0.2125
3,up,0,67,1,888,-0.2125
3,up,0,67,1,888,0.2679
3,center,0,69,1,888,0.2679
3,center,0,69,1,888,-0.2679
3,down,0,68,1,888,-0.2679
3,center,0.05,69,2,888,0
3,down,0.05,68,2,888,0
3,center,0.072,69,2,888,0
3,up,0.072,67,2,888,0
3,down,0.094,68,2,888,0
3,center,0.094,69,2,888,0
3,center,0.05,69,1,888,0.1583
3,down,0.05,68,1,888,0.1583
3,down,0.05,68,1,888,-0.1583
3,center,0.05,69,1,888,-0.1583
3,down,0.05,68,1,888,0.2125
3,up,0.05,67,1,888,0.2125
3,up,0.05,67,1,888,-0.2125
3,down,0.05,68,1,888,-0.2125
3,down,0.05,68,1,888,0.2679
3,center,0.05,69,1,888,0.2679
3,up,0.05,67,1,888,-0.2679
3,center,0.05,69,1,888,-0.2679
3,up,0.072,67,1,888,0.1583
3,center,0.072,69,1,888,0.1583
3,center,0.072,69,1,888,-0.1583
3,up,0.072,67,1,888,-0.1583
3,down,0.072,68,1,888,0.2125
3,up,0.072,67,1,888,0.2125
3,up,0.072,67,1,888,-0.2125
3,center,0.072,69,1,888,-0.2125
3,up,0.072,67,1,888,0.2679
3,center,0.072,69,1,888,0.2679
3,center,0.072,69,1,888,-0.2679
